"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
2976;"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .";2;"currently employ 750 people expect headcount reach 1 000 2007";"currently employ 750 people expect headcount reach 1000 2007";"currently employ [NUMBER] people expect headcount reach [NUMBER] [DATE]"
2977;"It has been agreed with the company 's Board of Directors that she will be available in an advisory role .";1;"agree board director available advisory role";"agree board director available advisory role";"agree board director available advisory role"
2978;"It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management .";1;"process take seat capman board course support capman management";"process take seat capman board course support capman management";"process take seat capman board course support capman management"
2979;"It is also set to launch a messaging service in the next few days , which would enable users to access their e-mail accounts on MS Exchange .";1;"set launch messaging service next few day enable user access e mail account exchange";"set launch messaging service next few day enable user access e-mail account exchange";"set launch messaging service next few day enable user access e-mail account exchange"
2980;"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .";1;"estonia second large meat process market share ac nielsen 2008 data 13 percent";"estonia second-largest meat process market share ac nielsen 2008 data 13pct";"estonia second-largest meat process market share ac nielsen [DATE] data [PERCENT]"
2981;"It is expected to be online by 2011 .";1;"expect online 2011";"expect online 2011";"expect online [DATE]"
2982;"It rose by 15.7 % and by 24.8 % in Finland and abroad , respectively , to EUR 7 million and EUR 4.2 million , due to a 40 % growth in Russia .";2;"rise 15 7 24 8 abroad respectively eur 7 million eur 4 2 million due 40 growth russia";"rise 15.7pct 24.8pct abroad respectively eur7mn eur4.2mn due 40pct growth russia";"rise [PERCENT] [PERCENT] abroad respectively [MONEY] [MONEY] due [PERCENT] growth russia"
2983;"It 's not .";1;"not";"not";"not"
2984;"It was decided that the auditors are reimbursed according to invoice .";1;"decide auditor reimburse invoice";"decide auditor reimburse invoice";"decide auditor reimburse invoice"
2985;"It will report full-year results on August 22 .";1;"report full result august 22";"report full-year result august 22";"report full-year result august [NUMBER]"
2986;"Its annual capacity is some 10,000 MW .";1;"annual capacity 10 000 mw";"annual capacity 10000mw";"annual capacity 10000mw"
2987;"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .";2;"main business area glass machinery glaston technology global market leader glass processing machine";"main business area glass machinery glaston technology global market leader glass processing machine";"main business area glass machinery glaston technology global market leader glass processing machine"
2988;"Its market share is 6 percent according to AC Nielsen 's 2008 data .";1;"market share 6 percent ac nielsen 2008 data";"market share 6pct ac nielsen 2008 data";"market share [PERCENT] ac nielsen [DATE] data"
2989;"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .";1;"product portfolio comprise harvester forwarders harvester head well crane loader";"product portfolio comprise harvester forwarders harvester head well crane loader";"product portfolio comprise harvester forwarders harvester head well crane loader"
2990;"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .";1;"janis arbidans ceo yit celtnieciba say focus housing real estate development market";"janis arbidans ceo yit celtnieciba say focus housing real estate development market";"janis arbidans ceo yit celtnieciba say focus housing real estate development market"
2991;"Jeder Beta-Tester erh+�lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+�glichkeit , die finale Version zu beeinflussen .";1;"jeder beta tester erh lt kostenlos sechs monate lang update und hat laut eigener aussage die glichkeit die finale version zu beeinflussen";"jeder beta-tester erh lt kostenlos sechs monate lang update und hat laut eigener aussage die glichkeit die finale version zu beeinflussen";"jeder beta-tester erh lt kostenlos sechs monate lang update und hat laut eigener aussage die glichkeit die finale version zu beeinflussen"
2992;"Jobs will not be transferred from Finland , however .";2;"job not transfer however";"job not transfer however";"job not transfer however"
2993;"Joint procurement will be later extended to the factories in the Baltic countries .";1;"joint procurement later extend factory baltic country";"joint procurement later extend factory baltic country";"joint procurement later extend factory baltic country"
2994;"Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) .";1;"jon risfelt previously hold operational executive position europolitan ericsson sas american express card travel division well nyman schultz ceo vodafone sweden ceo gambro renal product ceo";"jon risfelt previously hold operational executive position europolitan ericsson sas american express card travel division well nyman schultz ceo vodafone sweden ceo gambro renal product ceo";"jon risfelt previously hold operational executive position europolitan ericsson sas american express card travel division well nyman schultz ceo vodafone sweden ceo gambro renal product ceo"
2995;"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .";1;"kaleva kustannus business id 0187274 0 notice 10 august 2009 acquire 4 458 000 alma medium share";"kaleva kustannus business id 0187274-0 notice 2009-2008-10 acquire 4458000 alma medium share";"kaleva kustannus business id [NUMBER] [NUMBER] notice [DATE] [DATE] [NUMBER] acquire [NUMBER] alma medium share"
2996;"Karppinen expects the consolidation trend to continue in the Finnish market .";1;"karppinen expect consolidation trend continue market";"karppinen expect consolidation trend continue market";"karppinen expect consolidation trend continue market"
2997;"Kaupthing forecasts a significant price increase for printing paper in 2007 .";2;"kaupthing forecast significant price increase print paper 2007";"kaupthing forecast significant price increase print paper 2007";"kaupthing forecast significant price increase print paper [DATE]"
2998;"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .";1;"kaupthing forecast swedish stora enso close mill reisholz germany";"kaupthing forecast finnish-swedish stora enso close mill reisholz germany";"kaupthing forecast finnish-swedish stora enso close mill reisholz germany"
2999;"Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .";1;"kemira share close x20ac 16 66 22us 71";"kemira share close 16.66 usd22us 71";"kemira share close [NUMBER] usd22us [NUMBER]"
3000;"KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .";2;"kesko food ltd press release 04 01 2006 13 00 kesko food ltd launch major tv campaign recruit many one hundred new k food retailer";"kesko food ltd press release 04.01.2006 13.00kesko food ltd launch major tv campaign recruit many 1 hundred new k-food retailer";"kesko food ltd press release [NUMBER] . [DATE] [NUMBER] 00kesko food ltd launch major tv campaign recruit many [NUMBER] hundred new k-food retailer"
3001;"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .";1;"kesko 2 000 store engage chain operation nordic baltic country russia belarus";"kesko 2000 store engage chain operation nordic baltic country russia belarus";"kesko [DATE] store engage chain operation nordic baltic country russia belarus"
3002;"Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .";1;"kirsi rantanen previously development director hk ruokatalo poultry business";"kirsi rantanen previously development director hk ruokatalo poultry business";"kirsi rantanen previously development director hk ruokatalo poultry business"
3003;"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .";1;"koduextra operate retail chain 11 store control non food center ky rukax scan tukka";"koduextra operate retail chain 11 store control non-food center ky rukax scan-tukka";"koduextra operate retail chain [NUMBER] store control non-food center ky rukax scan-tukka"
3004;"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .";1;"koff market share volume market 23 4 karhu 21 4";"koff market share volume market 23.4pct karhu 21.4pct";"koff market share volume market [PERCENT] karhu [PERCENT]"
3005;"L+�nnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .";1;"l nnen tehtaat food division reorganise two strategic business unit apetit frozen food jam apetit fish";"l nnen tehtaat food division reorganise 2 strategic business unit apetit frozen food jam apetit fish";"l nnen tehtaat food division reorganise [NUMBER] strategic business unit apetit frozen food jam apetit fish"
3006;"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities .";1;"last firm acquire realprojekti real estate development advise capman property activity";"last firm acquire realprojekti real estate development advise capman property activity";"last firm acquire realprojekti real estate development advise capman property activity"
3007;"Later on , about 150 Finnish-made houses will be build in the area .";1;"later 150 make house build area";"later 150 finnish-made house build area";"later [NUMBER] finnish-made house build area"
3008;"Lemmink+�inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .";1;"lemmink inen start manufacture roof felt 1920 production asphalt 1930s";"lemmink inen start manufacture roof felt 1920 production asphalt 1930s";"lemmink inen start manufacture roof felt [DATE] production asphalt 1930s"
3009;"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .";1;"like mechanical pipettors biohit proline plus ce ivd mark come 3 warranty";"like mechanical pipettors biohit proline plus ce-ivd marked come 3-year warranty";"like mechanical pipettors biohit proline plus ce-ivd marked come [NUMBER] -year warranty"
3010;"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .";1;"london afx intertek plc testing inspection say commercial electrical division buy natlabs etteplan 1 3 mln eur cash";"london afx intertek plc testing inspection say commercial electrical division buy finland-based natlabs etteplan eur1.3mn cash";"london afx intertek plc testing inspection say commercial electrical division buy finland-based natlabs etteplan [MONEY] cash"
3011;"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .";1;"loudeye corp up 2 56 4 33 corp down 10 cent 19 46 agree buy digital music distributor 60 million";"loudeye corp up usd2.56 usd4.33 corp down 10 cent usd19.46 agree buy digital music distributor usd60mn";"loudeye corp up [MONEY] [MONEY] corp down [NUMBER] cent [MONEY] agree buy digital music distributor [MONEY]"
3012;"( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . )";1;"spokesperson tell wwd expect 50 50 mix clothing home decor";"spokesperson tell wwd expect 50-50mix clothing home decor";"spokesperson tell wwd expect [NUMBER] -50mix clothing home decor"
3013;"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology .";1;"adp news dec 11 2008 power supply solution provider efore efo1v say yesterday open technology research development r laboratory university technology";"adp news 2008-2012-11 power-supply solution provider efore efo1v say yesterday open technology research development rd laboratory university technology";"adp news [DATE] [DATE] [NUMBER] power-supply solution provider efore efo1v say yesterday open technology research development rd laboratory university technology"
3014;"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .";2;"adp news nov 28 2008 power supply solution provider efore efo1v announce launch opus dc late power system opus product line";"adp news 2008-2011-28 power-supply solution provider efore efo1v announce launch opus dc late power system opus product line";"adp news [DATE] [DATE] [NUMBER] power-supply solution provider efore efo1v announce launch opus dc late power system opus product line"
3015;"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli";2;"adp news nov 3 2008 cargo handle system service cargotec cgcbv say acquire 80 stake italian service cvs technoports srl cv service srl italian handli";"adp news 2008-2011-03 cargo handle system service cargotec cgcbv say acquire 80pct stake italian service cvs technoports srl cv service srl italian handli";"adp news [DATE] [DATE] [NUMBER] cargo handle system service cargotec cgcbv say acquire [PERCENT] stake italian service cvs technoports srl cv service srl italian handli"
3016;"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi";1;"adp news nov 3 2008 paper packaging forest product stora enso sterv say invest eur 137 million usd 176 6 building power plant ostroleka mi";"adp news 2008-2011-03 paper packaging forest product stora enso sterv say invest eur137mn usd176.6m building power plant ostroleka mi";"adp news [DATE] [DATE] [NUMBER] paper packaging forest product stora enso sterv say invest [MONEY] [MONEY] [MEASUREMENT] building power plant ostroleka mi"
3017;"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t";2;"adpnews nov 9 2009 four agree buy combined sek 5 9 billion usd 854m eur 571 8 drug store offer sale restructuring swedish state pharmacy monopoly apoteket ab";"adpnews 2009-2011-09 4 agree buy combined eur5.9bn usd854m-eur571.8m drug store offer sale restructuring swedish stated-owned pharmacy monopoly apoteket ab";"adpnews [DATE] [DATE] [NUMBER] [NUMBER] agree buy combined [MONEY] usd854m- [MONEY] [MEASUREMENT] drug store offer sale restructuring swedish stated-owned pharmacy monopoly apoteket ab"
3018;"( The acquisition sum has not been disclosed . )";1;"acquisition sum not disclose";"acquisition sum not disclose";"acquisition sum not disclose"
3019;"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .";1;"luna take fifth place six 207 shot behind spain beatriz recari germany martina eberl welsh player becky brewerton high placed british finisher share seventh place three 210 shoot 71";"luna take fifth place 6-under 207 shot behind spain beatriz recari germany martina eberl welsh player becky brewerton highest-placed british finisher share seventh place 3-under 210 shoot 71";"luna take fifth place [NUMBER] -under [NUMBER] shot behind spain beatriz recari germany martina eberl welsh player becky brewerton highest-placed british finisher share seventh place [NUMBER] -under [NUMBER] shoot [NUMBER]"
3020;"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .";1;"maggie ramsey wait thousand oregon washington guide angler others flock frequent seminar nearly over";"maggie ramsey wait thousand oregon washington guide angler others flock frequent seminar nearly over";"maggie ramsey wait thousand oregon washington guide angler others flock frequent seminar nearly over"
3021;"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) .";1;"manavigator november 1 2010 deal snapshot swedish peab buy equipment rental firm cramo swedish construction peab ab sto peab b announce acquisition equipment rental cramo entreprenadmaskiner ab cramo cra1v";"manavigator-2010-2011-01-deal snapshot swedish peab buy equipment rental firm cramo swedish construction peab ab sto peab b announce acquisition equipment rental cramo entreprenadmaskiner ab cramo cra1v";"manavigator- [DATE] [DATE] [NUMBER] -deal snapshot swedish peab buy equipment rental firm cramo swedish construction peab ab sto peab b announce acquisition equipment rental cramo entreprenadmaskiner ab cramo cra1v"
3022;"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .";1;"marathon 4 6 percent stake plx say bloomberg";"marathon 4.6pct stake plx say bloomberg";"marathon [PERCENT] stake plx say bloomberg"
3023;"Market data and analytics are derived from primary and secondary research .";1;"market data analytics derive primary secondary research";"market data analytics derive primary secondary research";"market data analytics derive primary secondary research"
3024;"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .";2;"martela say plan expand recycled furniture business elsewhere";"martela say plan expand recycled furniture business elsewhere";"martela say plan expand recycled furniture business elsewhere"
3025;"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .";1;"may 29 2010 companiesandmarkets com deliver newstex report key data information meat fish poultry market";"2010-2005-29 companiesandmarketscom deliver newstex -- report key data information meat fish poultry market";"[DATE] [DATE] [NUMBER] companiesandmarketscom deliver newstex -- report key data information meat fish poultry market"
3026;"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .";1;"meanwhile alfa 25 1 megafon altimo 4 99 turkcell via 18 5 stake cukurova holding";"meanwhile alfa 25.1pct megafon altimo 4.99pct turkcell via 18.5pct stake cukurova holding";"meanwhile alfa [PERCENT] megafon altimo [PERCENT] turkcell via [PERCENT] stake cukurova holding"
3027;"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .";1;"mercator software logistic retail wholesale operation slovenia market southeastern europe";"mercator software logistic retail wholesale operation slovenia market southeastern europe";"mercator software logistic retail wholesale operation slovenia market southeastern europe"
3028;"Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .";1;"metsa botnia sell 82 1 stake uruguayan metsaliitto 5 5";"metsa-botnia sell 82.1pct stake uruguayan metsaliitto -- 5.5pct";"metsa-botnia sell [PERCENT] stake uruguayan metsaliitto -- [PERCENT]"
3029;"Metso Foundries Jyvaskyla , Inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in Jyvaskyla , Finland .";0;"metso foundry jyvaskyla inc begin personnel negotiation temporary lay offs personnel reduction jyvaskyla";"metso foundry jyvaskyla inc begin personnel negotiation temporary lay-offs personnel reduction jyvaskyla";"metso foundry jyvaskyla inc begin personnel negotiation temporary lay-offs personnel reduction jyvaskyla"
3030;"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .";1;"metso foundry jyvaskyla discontinue production line 30 september 2008 say";"metso foundry jyvaskyla discontinue production line 2008-2009-30 say";"metso foundry jyvaskyla discontinue production line [DATE] [DATE] [NUMBER] say"
3031;"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .";1;"metso foundry jyvaskyla discontinue production line 30 september 2008";"metso foundry jyvaskyla discontinue production line 2008-2009-30";"metso foundry jyvaskyla discontinue production line [DATE] [DATE] [NUMBER]"
3032;"Metso Oyj said it has sold its spreader roll manufacturing business and related assets in the town of Nokia , southern Finland , to a group of Finnish investors , who will operate the business under the name of Finbow Oy .";1;"metso say sell spreader roll manufacturing business related asset town southern investor operate business name finbow";"metso say sell spreader roll manufacturing business related asset town southern investor operate business name finbow";"metso say sell spreader roll manufacturing business related asset town southern investor operate business name finbow"
3033;"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .";2;"microsoft churn up courtship agree navteq mapping service offer buy 8 1 billion few ago";"microsoft churn up courtship agree navteq mapping service offer buy usd8.1bn few ago";"microsoft churn up courtship agree navteq mapping service offer buy [MONEY] few ago"
3034;"Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .";1;"microsoft last week issue patch window 7 operate system beta release day earlier";"microsoft last week issue patch window 7 operate system beta release day earlier";"microsoft last week issue patch window [NUMBER] operate system beta release day earlier"
3035;"More than 50,000 tonnes of asphalt mix will be used in the contract .";1;"more 50 000 tonne asphalt mix contract";"more 50000 tonne asphalt mix contract";"more [NUMBER] tonne asphalt mix contract"
3036;"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .";1;"real paper maker metsaliitto due release second report around 12 00 eet 5 august 2010";"m-real paper maker metsaliitto due release second-quarter report around 12:00 eet 2010-2008-05";"m-real paper maker metsaliitto due release second-quarter report around [DATE] eet [DATE] [DATE] [NUMBER]"
3037;"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+�liitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .";1;"real stock exchange release 27 august 2009 3 15 pm real receive eur 190 million cash payment sappi real mets liitto divest graphic paper business sappi limit 2008 eur 750 million";"m-real stock exchange release 2009-2008-27 3.15 pm m-real receive eur190mn cash payment sappi m-real mets liitto divest graphic paper business sappi limit 2008 eur750mn";"m-real stock exchange release [DATE] [DATE] [NUMBER] [NUMBER] pm m-real receive [MONEY] cash payment sappi m-real mets liitto divest graphic paper business sappi limit [DATE] [MONEY]"
3038;"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .";1;"n 1 pay eur16 5 transaction price upon closing remain sum 2012";"n 1group pay eur16.5m transaction price upon closing remain sum 2012";"n 1group pay [MONEY] [MEASUREMENT] transaction price upon closing remain sum [DATE]"
3039;"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .";0;"national conciliator juhani salonius meet party wednesday say far apart view propose mediation";"national conciliator juhani salonius meet party wednesday say far apart view propose mediation";"national conciliator juhani salonius meet party wednesday say far apart view propose mediation"
3040;"ND = Not disclosed .";1;"nd not disclose";"nd = not disclose";"nd = not disclose"
3041;"Negotiations with representatives of the personnel regarding the restructuring process have now been ended .";1;"negotiation representative personnel regard restructuring process";"negotiation representative personnel regard restructuring process";"negotiation representative personnel regard restructuring process"
3042;"Neither of the companies use genetically engineered soy at the moment .";1;"neither genetically engineer soy moment";"neither genetically engineer soy moment";"neither genetically engineer soy moment"
3043;"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .";1;"neste oil publish third 2008 result friday 24 october 2008 approximately 9 eet";"neste oil publish third 2008 result friday 2008-2010-24 approximately 9 eet";"neste oil publish third [DATE] result friday [DATE] [DATE] [NUMBER] approximately [NUMBER] eet"
3044;"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device .";1;"new delhi feb 12 korteniemi anneli helokunnas tuija peltola marjo keskinen jukka salminen jussi tusa kia janhonen risto telecommunication espoo develop cable adjustment device";"new delhi feb12 -- korteniemi anneli helokunnas tuija peltola marjo keskinen jukka salminen jussi tusa kia janhonen risto telecommunication espoo develop cable adjustment device";"new delhi feb12 -- korteniemi anneli helokunnas tuija peltola marjo keskinen jukka salminen jussi tusa kia janhonen risto telecommunication espoo develop cable adjustment device"
3045;"New Novator products are supposed to be exported .";1;"new novator product suppose export";"new novator product suppose export";"new novator product suppose export"
3046;"New product launches in Finland will more than double from 2005 .";2;"new product launch more double 2005";"new product launch more double 2005";"new product launch more double [DATE]"
3047;"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .";1;"niina nenonen marimekko current director clothing bag accessory line take up role";"niina nenonen marimekko current director clothing bag accessory line take up role";"niina nenonen marimekko current director clothing bag accessory line take up role"
3048;"No changes in media activity were seen in October compared with September .";1;"no change medium activity see october compare september";"no change medium activity see october compare september";"no change medium activity see october compare september"
3049;"No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .";1;"no decision sale issue exist treasury share ya global make yet";"no decision sale issue exist treasury share ya global make yet";"no decision sale issue exist treasury share ya global make yet"
3050;"No financial detail were available .";1;"no financial detail available";"no financial detail available";"no financial detail available"
3051;"No financial details were revealed .";1;"no financial detail reveal";"no financial detail reveal";"no financial detail reveal"
3052;"No financial information was provided .";1;"no financial information";"no financial information";"no financial information"
3053;"No other ev3 devices were involved in this action .";1;"no ev3 device involve action";"no ev3 device involve action";"no ev3 device involve action"
3054;"Nokia is also negotiating the product portfolio of the new company .";1;"negotiate product portfolio new";"negotiate product portfolio new";"negotiate product portfolio new"
3055;"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .";1;"nordea pankki suomi previously announce make forward contract alma medium share";"nordea pankki suomi previously announce make forward contract alma medium share";"nordea pankki suomi previously announce make forward contract alma medium share"
3056;"Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .";1;"nordea chairman board hans dalborg inform nomination committee not up election annual general meeting 2011";"nordea chairman board hans dalborg inform nomination committee not up re-election annual general meeting 2011";"nordea chairman board hans dalborg inform nomination committee not up re-election annual general meeting [DATE]"
3057;"Nordea was the cheapest also for a couple in their 30s with debt .";1;"nordea cheap couple 30 debt";"nordea cheap couple 30 debt";"nordea cheap couple 30 debt"
3058;"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -� 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .";1;"nordic business report 17 january 2006 efore plc inaugurate new plant estonia 1998 2006 m2 communication ltd power electronics manufacturer efore plc say tuesday 17 january inaugurate new plant parnu estonia";"nordic business report-2006-2001-17-efore plc inaugurate new plant estonia 1998-2006m2 communication ltd power electronics manufacturer efore plc say tuesday 17 january inaugurate new plant parnu estonia";"nordic business report- [DATE] [DATE] [NUMBER] -efore plc inaugurate new plant estonia [DATE] -2006m2 communication ltd power electronics manufacturer efore plc say tuesday [NUMBER] january inaugurate new plant parnu estonia"
3059;"Nordstjernan will make the offer in approximately one month , in September 2007 .";1;"nordstjernan make offer approximately one month september 2007";"nordstjernan make offer approximately 1month 2007:09";"nordstjernan make offer approximately 1month [DATE]"
3060;"Number of offers received for this contract is two .";1;"number offer receive contract two";"number offer receive contract 2";"number offer receive contract [NUMBER]"
3061;"NWC ANALYSIS :";1;"nwc analysis";"nwc analysis";"nwc analysis"
3062;"Odell has not contacted the State of Finland in this issue .";1;"odell not contact state issue";"odell not contact state issue";"odell not contact state issue"
3063;"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .";1;"okhta center area expect 700 000 square metre office premise 2016";"okhta center area expect 700000 square metre office premise 2016";"okhta center area expect [NUMBER] square metre office premise [DATE]"
3064;"Okmetic has used the furnaces for the contract manufacturing of solar crystals .";1;"okmetic furnace contract manufacturing solar crystal";"okmetic furnace contract manufacturing solar crystal";"okmetic furnace contract manufacturing solar crystal"
3065;"Okmetic revised its 2010 financial outlook based on its order book .";1;"okmetic revise 2010 financial outlook order book";"okmetic revise 2010 financial outlook order book";"okmetic revise [DATE] financial outlook order book"
3066;"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .";1;"25 august 2009 sampo stake nordea 19 45";"2009-2008-25 sampo stake nordea 19.45pct";"[DATE] [DATE] [NUMBER] sampo stake nordea [PERCENT]"
3067;"On the other hand , Montevideo said that having the two mills working in the area will generate jobs .";2;"hand montevideo say two mill work area generate job";"hand montevideo say 2mills working area generate job";"hand montevideo say 2mills working area generate job"
3068;"On Wednesday he announced that the government would propose granting a licence for two reactors , one to be built by Fennovoima , and the other by TVO .";2;"wednesday announce government propose grant licence two reactor one build fennovoima tvo";"wednesday announce government propose grant licence 2 reactor 1 build fennovoima tvo";"wednesday announce government propose grant licence [NUMBER] reactor [NUMBER] build fennovoima tvo"
3069;"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position .";1;"one apply job directly ipad select cv attach cover letter appropriate position";"1 apply job directly ipad select cv attach cover letter appropriate position";"[NUMBER] apply job directly ipad select cv attach cover letter appropriate position"
3070;"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .";1;"one price category call preferred operator network another call operator network";"1 price category call preferred operator network another call operator network";"[NUMBER] price category call preferred operator network another call operator network"
3071;"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .";1;"operator only need learn one device multiple level application voice direct operation";"operator only need learn 1 device multiple level application voice-directed operation";"operator only need learn [NUMBER] device multiple level application voice-directed operation"
3072;"Originally posted to the PCMag.com security blog , Security Watch .";1;"originally post pcmag com security blog security watch";"originally post pcmagcom security blog security watch";"originally post pcmagcom security blog security watch"
3073;"Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .";1;"oriola kd spin pharmaceutical orion wholesale division";"oriola-kd spin-off pharmaceutical orion wholesale division";"oriola-kd spin-off pharmaceutical orion wholesale division"
3074;"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .";1;"north rhine westphalia issue benchmark 5 fix rate deal euro";"north-rhine westphalia issue benchmark 5 fix rate deal eur";"north-rhine westphalia issue benchmark [NUMBER] fix rate deal eur"
3075;"Other details were not provided .";1;"detail not";"detail not";"detail not"
